time_stamp,sensor_index,humidity_a,humidity_b,temperature_a,temperature_b,pressure_a,pressure_b,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1_a,pm2.5_cf_1_b
1569924000,24947,39.0,null,80.0,null,1001.894,null,5.163,null,5.163,null
1569906000,24947,37.767,null,80.0,null,996.807,null,3.17,null,3.17,null
1569949200,24947,39.567,null,85.733,null,1010.407,null,4.639,null,4.639,null
1569895200,24947,39.0,null,83.966,null,996.863,null,1.754,null,1.754,null
1569931200,24947,39.0,null,79.1,null,1004.577,null,2.503,null,2.503,null
1569888000,24947,38.133,null,85.7,null,997.086,null,3.212,null,3.212,null
1570330800,24947,38.0,null,81.0,null,1008.959,null,4.543,null,4.543,null
1570395600,24947,39.633,null,82.3,null,1013.489,null,10.137,null,10.137,null
1570356000,24947,38.0,null,81.0,null,1013.168,null,4.575,null,4.575,null
1570327200,24947,38.0,null,81.534,null,1008.405,null,6.061,null,6.061,null
1570341600,24947,38.0,null,79.0,null,1010.697,null,1.944,null,1.944,null
1570352400,24947,37.233,null,80.2,null,1012.695,null,6.938,null,6.938,null
1570370400,24947,37.034,null,83.0,null,1014.774,null,3.011,null,3.011,null
1570399200,24947,40.0,null,81.2,null,1012.705,null,8.08,null,8.08,null
1570366800,24947,37.2,null,82.5,null,1014.478,null,3.482,null,3.482,null
1570323600,24947,37.7,null,82.2,null,1008.054,null,7.679,null,7.679,null
1570338000,24947,38.0,null,79.834,null,1009.843,null,2.675,null,2.675,null
1570359600,24947,38.0,null,81.867,null,1013.693,null,6.476,null,6.476,null
1570392000,24947,39.0,null,83.0,null,1013.949,null,9.359,null,9.359,null
1570345200,24947,38.0,null,79.959,null,1011.695,null,1.528,null,1.528,null
1570381200,24947,38.9,null,83.0,null,1015.288,null,18.748,null,18.749,null
1570377600,24947,39.367,null,83.0,null,1014.864,null,25.377,null,25.787,null
1570363200,24947,37.9,null,82.0,null,1014.308,null,5.537,null,5.537,null
1570388400,24947,38.233,null,83.0,null,1014.342,null,10.689,null,10.689,null
1570384800,24947,38.666,null,83.0,null,1015.203,null,12.903,null,12.903,null
1570402800,24947,40.0,null,81.0,null,1012.842,null,6.245,null,6.245,null
1570348800,24947,37.767,null,80.0,null,1012.546,null,7.825,null,7.825,null
1570334400,24947,38.0,null,80.0,null,1009.237,null,3.705,null,3.705,null
1570320000,24947,37.0,null,83.133,null,1007.635,null,10.083,null,10.083,null
1570374000,24947,38.1,null,83.0,null,1014.846,null,5.777,null,5.777,null
1570939200,24947,35.2,null,83.0,null,1000.652,null,2.916,null,2.916,null
1570935600,24947,35.0,null,83.875,null,1001.185,null,3.351,null,3.351,null
1570932000,24947,35.0,null,84.6,null,1001.786,null,4.212,null,4.212,null
1570946400,24947,36.0,null,81.867,null,999.649,null,2.012,null,2.012,null
1570928400,24947,33.966,null,85.334,null,1002.245,null,5.559,null,5.559,null
1570950000,24947,36.3,null,82.0,null,999.733,null,2.156,null,2.156,null
1570964400,24947,37.0,null,81.867,null,999.894,null,11.026,null,11.026,null
1570968000,24947,36.567,null,84.167,null,1000.142,null,9.945,null,9.945,null
1570978800,24947,31.9,null,85.6,null,1001.606,null,21.971,null,26.4,null
1571007600,24947,33.0,null,88.434,null,1006.562,null,4.723,null,4.723,null
1570975200,24947,34.833,null,86.8,null,1001.214,null,8.765,null,8.765,null
1570953600,24947,36.034,null,81.633,null,1000.037,null,2.385,null,2.385,null
1570971600,24947,35.133,null,85.534,null,1000.659,null,9.376,null,9.376,null
1570993200,24947,34.0,null,87.7,null,1004.754,null,16.522,null,16.526,null
1570960800,24947,36.367,null,81.0,null,999.746,null,7.51,null,7.51,null
1570986000,24947,33.066,null,86.1,null,1002.981,null,29.301,null,31.98,null
1570982400,24947,32.6,null,85.1,null,1002.207,null,5.755,null,5.755,null
1570942800,24947,36.0,null,82.233,null,1000.082,null,2.54,null,2.54,null
1570989600,24947,33.967,null,86.8,null,1003.976,null,36.493,null,41.978,null
1570924800,24947,32.834,null,86.625,null,1002.592,null,6.527,null,6.527,null
1571004000,24947,33.0,null,89.0,null,1006.144,null,5.836,null,5.836,null
1570957200,24947,36.0,null,81.0,null,999.804,null,4.312,null,4.312,null
1571000400,24947,33.0,null,89.0,null,1005.907,null,7.341,null,7.341,null
1570996800,24947,33.534,null,89.0,null,1005.433,null,9.747,null,9.747,null
1570442400,24947,40.0,null,79.0,null,1005.988,null,4.514,null,4.514,null
1570485600,24947,38.933,null,80.0,null,1003.699,null,4.498,null,4.498,null
1570406400,24947,40.0,null,80.267,null,1012.193,null,4.932,null,4.932,null
1570420800,24947,40.0,null,79.0,null,1007.159,null,1.121,null,1.121,null
1570471200,24947,39.233,null,80.0,null,1004.887,null,3.304,null,3.304,null
1570449600,24947,40.0,null,79.0,null,1005.888,null,3.65,null,3.65,null
1570489200,24947,38.0,null,79.566,null,1003.241,null,3.441,null,3.441,null
1570467600,24947,39.7,null,80.066,null,1004.706,null,2.91,null,2.91,null
1570474800,24947,39.0,null,80.0,null,1004.834,null,3.45,null,3.45,null
1570410000,24947,40.0,null,80.0,null,1010.523,null,3.639,null,3.639,null
1570478400,24947,39.0,null,80.4,null,1004.698,null,5.527,null,5.527,null
1570417200,24947,40.0,null,79.0,null,1008.34,null,1.833,null,1.834,null
1570431600,24947,39.867,null,79.0,null,1005.962,null,8.901,null,8.901,null
1570413600,24947,40.0,null,79.966,null,1009.72,null,2.478,null,2.478,null
1570428000,24947,39.0,null,79.0,null,1006.255,null,1.057,null,1.057,null
1570446000,24947,40.0,null,79.0,null,1005.946,null,3.918,null,3.918,null
1570453200,24947,40.0,null,79.0,null,1005.735,null,3.616,null,3.616,null
1570424400,24947,39.466,null,79.0,null,1006.449,null,0.97,null,0.97,null
1570460400,24947,39.467,null,80.0,null,1005.01,null,3.625,null,3.625,null
1570482000,24947,39.0,null,80.4,null,1004.283,null,5.704,null,5.704,null
1570464000,24947,39.633,null,80.267,null,1004.747,null,2.891,null,2.891,null
